Date,Close,Volume,PriceRange
2008-02-15,48.47,14903663,3.4
2008-02-22,47.37,5943794,2.98
2008-02-29,44.58,8777818,3.9
2008-03-07,42.89,11052500,2.46
2008-03-14,39.94,31421279,7.75
2008-03-21,39.83,11299856,2.94
2008-03-28,41.11,8783914,2.09
2008-04-04,43.42,12138234,4.5
2008-04-11,41.85,7280976,2.51
2008-04-18,42.7,8866358,3.87
2008-04-25,43.49,15150295,4.15
2008-05-02,42.43,12675231,3.68
2008-05-09,41.28,11711988,2.12
2008-05-16,40.46,14378303,2.29
2008-05-23,40.59,16330814,2.42
2008-05-30,40.6,8512802,2.1
2008-06-06,41.55,14024829,2.72
2008-06-13,40.65,12891874,2.18
2008-06-20,36.19,19465922,4.71
2008-06-27,35.7,16758058,1.89
2008-07-04,34.41,14694489,3.07
2008-07-11,33.81,17192825,3.17
2008-07-18,34.97,15141931,2.35
2008-07-25,37.1,15422005,4.24
2008-08-01,35.61,16110262,3.58
2008-08-08,42.18,19410122,6.6
2008-08-15,43.15,12576330,4.13
2008-08-22,42.26,9526549,2.34
2008-08-29,41.88,8207144,2.33
2008-09-05,39.82,9359489,4.76
2008-09-12,40.66,13847467,2.37
2008-09-19,36.85,19863715,8.78
2008-09-26,36.53,8097853,3.68
2008-10-03,33.4,9114683,5.72
2008-10-10,22.26,24931556,12.75
2008-10-17,25.22,31167229,8.39
2008-10-24,23.83,19059371,7.13
2008-10-31,16.3,89637576,8.35
2008-11-07,15.85,42686539,4.28
2008-11-14,12.95,28417358,4.43
2008-11-21,8.82,43943022,5.35
2008-11-28,12.11,23469783,3.72
2008-12-05,14.14,27858800,3.25
2008-12-12,15.54,30576697,2.53
2008-12-19,16.18,25641228,2.86
2008-12-26,15.88,7227677,2.35
2009-01-02,17.79,12310452,2.75
2009-01-09,16.71,19081809,2.25
2009-01-16,15.27,27188095,3.15
2009-01-23,15.52,20319130,1.93
2009-01-30,17.36,26033517,3.48
2009-02-06,21.73,35027439,5.71
2009-02-13,21.3,23450590,3.06
2009-02-20,18.67,27987391,3.34
2009-02-27,15.76,40683664,3.41
2009-03-06,13.44,39580627,2.97
2009-03-13,17.24,29158557,4.61
2009-03-20,17.26,28866325,2.93
2009-03-27,17.9,20551865,1.5
2009-04-03,18.34,22728552,2.55
2009-04-10,20.45,19253026,3.74
2009-04-17,21.41,24804220,2.33
2009-04-24,19.58,14176291,2.4
2009-05-01,19.49,20598813,2
2009-05-08,23.68,33559533,6.08
2009-05-15,21.66,23473517,2.97
2009-05-22,19.93,19914810,2.09
2009-05-29,22.17,19912293,2.98
2009-06-05,22.84,21712929,1.86
2009-06-12,20.89,29864967,2.93
