Date,Close,Volume,PriceRange
2005-02-18,36.77,6671100,1.13
2005-02-25,37.79,5786900,1.47
2005-03-04,38.2,9939700,1.59
2005-03-11,37.6,8092400,0.96
2005-03-18,37.06,5434700,1.63
2005-03-25,38.05,5259200,1.42
2005-04-01,37.86,13125600,2.64
2005-04-08,38.15,14280100,1.64
2005-04-15,37.3,12695100,1.83
2005-04-22,35.08,16861100,2.33
2005-04-29,37,10786700,1.98
2005-05-06,38.04,11812800,2.66
2005-05-13,37.68,8474900,2
2005-05-20,38.94,10219900,2.19
2005-05-27,40.25,10960200,1.74
2005-06-03,40.2,5276600,0.67
2005-06-10,40.25,6210900,1.74
2005-06-17,42.8,11997200,3.2
2005-06-24,43.29,9026500,1.6
2005-07-01,44.9,10047400,3.64
2005-07-08,44.55,6119100,1.66
2005-07-15,45.22,5835000,1.36
2005-07-22,44.57,6462600,1.71
2005-07-29,45,8940200,2.35
2005-08-05,46.6,8552200,1.81
2005-08-12,46.97,6004300,1.43
2005-08-19,46.05,6555600,1
2005-08-26,45.62,5545600,1.15
2005-09-02,46.27,5996500,1.58
2005-09-09,45,6998800,1.7
2005-09-16,46.47,10583200,1.66
2005-09-23,45.79,6043000,1.12
2005-09-30,47.45,6928800,2.22
2005-10-07,45.6,8172400,2.82
2005-10-14,44.14,8836400,2.41
2005-10-21,43.87,4991000,1.35
2005-10-28,45.19,6757200,1.59
2005-11-04,45.07,5771200,1.22
2005-11-11,45.85,6891200,1.14
2005-11-18,48.38,7598900,2.88
2005-11-25,50.13,6059600,1.91
2005-12-02,50.34,9651000,1.4
2005-12-09,51.93,9233600,2.24
2005-12-16,52.21,8601900,0.84
2005-12-23,52.13,4675800,1.91
2005-12-30,51.59,2588500,1.36
2006-01-06,53.3,7730300,2.47
2006-01-13,51.15,9482300,1.79
2006-01-20,51.01,5628800,2.05
2006-01-27,53.8,12122900,4.54
2006-02-03,53.82,8936700,1.42
2006-02-10,53.15,6519600,1.6
2006-02-17,54.6,6632700,1.7
2006-02-24,53.6,6861100,1.28
2006-03-03,53.74,7823100,1.45
2006-03-10,53.88,5573500,1.01
2006-03-17,53.52,4488300,1.33
2006-03-24,52.63,6811500,2.06
2006-03-31,52.13,7399800,1.62
2006-04-07,51.22,5966500,1.73
2006-04-14,51.4,4860400,1.6
2006-04-21,49.61,7110200,2.88
2006-04-28,48.59,6907300,1.9
2006-05-05,48.88,7861700,2.76
2006-05-12,47.8,5608400,1.41
2006-05-19,48.61,7703900,1.67
2006-05-26,48.74,6907000,1.6
2006-06-02,49.8,6756900,2.37
2006-06-09,45.66,10840000,4
2006-06-16,45.85,7876200,2.1
2006-06-23,45.71,8254200,1.95
2006-06-30,47.28,9924000,1.82
2006-07-07,47.16,4494400,1.28
2006-07-14,45.67,7974400,2.99
2006-07-21,49.41,9515200,4.52
2006-07-28,51.15,9941300,2.94
2006-08-04,51.18,8640900,1.59
2006-08-11,51.1,7710400,1.16
2006-08-18,52.08,5697900,1.14
2006-08-25,51.38,5985300,1.64
2006-09-01,51.84,6836300,1.38
2006-09-08,53.49,7460900,1.93
2006-09-15,54.13,10031800,1.7
2006-09-22,52.45,8481400,2.67
2006-09-29,52.72,6804800,1.75
2006-10-06,50.54,9402500,4.35
2006-10-13,49.85,9209700,1.82
2006-10-20,51.37,7141700,1.73
2006-10-27,50.9,7062300,2.69
2006-11-03,48.52,12881100,3.37
2006-11-10,49.41,11020200,2.71
2006-11-17,49.55,9100800,1.76
2006-11-24,48.18,6185500,2.36
2006-12-01,49.23,11467300,2
2006-12-08,48.96,8214300,2.18
2006-12-15,51.18,12126300,2.46
2006-12-22,50.72,6803300,1.17
2006-12-29,50.7,2753000,0.8
2007-01-05,51.31,6084400,1.04
2007-01-12,54.42,13357700,3.64
2007-01-19,55.13,9751600,1.48
2007-01-26,55.94,14583500,3.36
2007-02-02,55.77,10180000,1.45
2007-02-09,55.71,8870800,1.32
2007-02-16,57.22,7261297,1.9
2007-02-23,57.39,4984500,0.97
2007-03-02,54.65,10376971,4.13
2007-03-09,56.07,8683300,2.33
2007-03-16,55.23,8905400,2.81
2007-03-23,57.82,7563788,4.3
2007-03-30,58.54,9140723,2.45
2007-04-06,58.92,5982754,0.98
2007-04-13,59.57,5843279,1.54
2007-04-20,60.22,7801703,1.29
2007-04-27,58.24,11611010,3.28
2007-05-04,60,6829729,1.89
2007-05-11,59.68,13473540,2.88
2007-05-18,61.92,9441540,2.21
2007-05-25,62.36,8667301,1.15
2007-06-01,63.71,6685400,1.56
2007-06-08,61.88,7094077,2.92
2007-06-15,60.76,8656860,1.66
2007-06-22,58.1,10162000,2.77
2007-06-29,59.64,9246300,2.69
2007-07-06,59.62,4429000,1.03
2007-07-13,60.5,7474100,2.64
2007-07-20,58.36,8642300,2.96
2007-07-27,55.95,11976794,3.68
2007-08-03,58.56,15372552,4.8
2007-08-10,56.05,20527130,6.75
2007-08-17,58.39,14847900,3.36
2007-08-24,59.24,8049700,2.55
2007-08-31,57.21,6211400,3.49
2007-09-07,54.88,7976500,3.39
2007-09-14,54.19,10205600,2.67
2007-09-21,55.78,9948045,3.87
2007-09-28,58.79,7430725,3.07
2007-10-05,59.7,12377143,3.96
2007-10-12,59.1,6880081,3.7
2007-10-19,57.38,6308100,2.47
2007-10-26,58.46,6205100,2.36
2007-11-02,64.4,15621022,8.96
2007-11-09,63.83,9170617,2
2007-11-16,66.83,10603791,3.52
2007-11-23,67,7769865,1.34
2007-11-30,66.73,9697685,2.75
2007-12-07,66.37,9410326,2.25
2007-12-14,63.21,9111578,4.32
2007-12-21,65.94,7099128,3.43
2007-12-28,65.94,3165817,1.57
2008-01-04,63.25,6341755,3.09
2008-01-11,67.8,9556588,4.85
2008-01-18,64.8,9929370,4.25
2008-01-25,60.4,11912501,4.98
2008-02-01,61.41,16580738,5.1
2008-02-08,57.68,17758687,5.87
2008-02-15,58.56,14526906,1.71
2008-02-22,59.89,10067560,1.41
2008-02-29,58.76,9701223,2.83
2008-03-07,57.4,11701398,1.92
2008-03-14,52.89,22019070,5.52
2008-03-21,55.24,9953145,3.62
2008-03-28,51.66,11715452,3.57
2008-04-04,54.3,9791462,3.65
2008-04-11,52.38,11046853,2.91
2008-04-18,54.53,11333868,4.18
2008-04-25,54.5,14411935,2.8
2008-05-02,54.3,11252128,2.88
2008-05-09,57.37,19441753,6.13
2008-05-16,58.57,8869531,1.98
2008-05-23,57.22,9167351,1.99
2008-05-30,57.65,6165834,1.36
2008-06-06,57.02,8404439,1.69
2008-06-13,56.01,11007332,2.48
2008-06-20,57.09,13045818,2.71
2008-06-27,56.71,11049020,2.33
2008-07-04,54.59,6793613,3.23
