Date,Close,Volume,PriceRange,Quarter,Quarter Close,Home Fitness Equipment Salse,"Revenue of the fitness, health and gym club industry",Health Club Membership ,Number of Health Clubs,Fitness App Market Size,Fitness Industry Businesses,Digital Health Investment,Fitness Center Machine Sales,B2B Sports Nutrition Market,Quarter Dolla Strength
42713,69.3,34414211,17.05,,,,,,,,,,,,
42720,66.42,10721175,4.88,,,,,,,,,,,,
42727,64.41,6593232,3.8,,,,,,,,,,,,
42734,64.99,4177093,2.07,,,,,,,,,,,,
42741,68.27,12282707,4.27,,,,,,,,,,,,
42748,67.92,9417355,3.35,,,,,,,,,,,,
42755,67.32,4665212,2.64,,,,,,,,,,,,
42762,66.82,5421489,3.03,,,,,,,,,,,,
42769,66.39,6323728,2.8,,,,,,,,,,,,
42776,67.62,5141993,2.06,,,,,,,,,,,,
42783,66.73,6166612,2.85,,,,,,,,,,,,
42790,65.32,4898886,3.37,,,,,,,,,,,,
42797,65.7,7013275,2.44,,,,,,,,,,,,
42804,65.08,6371813,1.76,,,,,,,,,,,,
42811,64.04,7457801,2.67,,,,,,,,,,,,
42818,63.69,9810486,2.64,,,,,,,,,,,,
42825,51.87,81124466,15.84,,,,,,,,,,,,
42832,50.63,27153388,2.78,,,,,,,,,,,,
42839,51.22,18213235,2.5,,,,,,,,,,,,
42846,53.08,17093537,2.6,,,,,,,,,,,,
42853,52,15823525,2.34,,,,,,,,,,,,
42860,51.95,9891297,1.53,,,,,,,,,,,,
42867,53.12,16333810,4.24,,,,,,,,,,,,
42874,49.29,17472900,4.96,,,,,,,,,,,,
42881,48.23,13204862,2.09,,,,,,,,,,,,
42888,54.29,39094791,9.59,,,,,,,,,,,,
42895,51.7,17562460,2.79,,,,,,,,,,,,
42902,52.97,11591349,2.62,,,,,,,,,,,,
42909,55.37,11221200,3.05,,,,,,,,,,,,
42916,59.67,18209444,5.26,,,,,,,,,,,,
42923,58.36,6804179,2.99,,,,,,,,,,,,
42930,59.81,6267224,2.49,,,,,,,,,,,,
42937,61.94,8892136,2.9,,,,,,,,,,,,
42944,61.83,8545059,1.84,,,,,,,,,,,,
42951,61.76,6767425,1.82,,,,,,,,,,,,
42958,59.76,6328349,5.31,,,,,,,,,,,,
42965,58.13,8774116,3.29,,,,,,,,,,,,
42972,60.21,10019132,3.52,,,,,,,,,,,,
42979,61.69,28330107,6.02,,,,,,,,,,,,
42986,62.34,11296906,2.62,,,,,,,,,,,,
42993,60.6,8379394,3.29,,,,,,,,,,,,
43000,58.14,9335869,3.06,,,,,,,,,,,,
43007,62.25,10774399,5.14,,,,,,,,,,,,
43014,61.3,7417235,2.21,,,,,,,,,,,,
43021,59.17,13641863,5.85,,,,,,,,,,,,
43028,63.29,12488062,5.95,,,,,,,,,,,,
43035,62.4,10139680,4.28,,,,,,,,,,,,
43042,61.15,5250643,2.45,,,,,,,,,,,,
43049,64.87,7593616,5.07,,,,,,,,,,,,
43056,66.31,5862033,3.88,,,,,,,,,,,,
43063,66.79,3454728,1.61,,,,,,,,,,,,
43070,67.22,9439064,2.72,,,,,,,,,,,,
43077,73.77,21882475,8.73,,,,,,,,,,,,
43084,75.82,8720202,2.79,,,,,,,,,,,,
43091,78.48,6870033,2.6,,,,,,,,,,,,
43098,78.59,4686578,1.8,,,,,,,,,,,,
43105,79.43,7482805,3.15,,,,,,,,,,,,
43112,78.84,7803442,4.48,,,,,,,,,,,,
43119,79.34,5281246,3.25,,,,,,,,,,,,
43126,79.08,4596214,1.92,,,,,,,,,,,,
43133,78.62,5866950,3.63,,,,,,,,,,,,
43140,77.15,14523485,8.41,,,,,,,,,,,,
43147,81.4,13539955,6.04,,,,,,,,,,,,
43154,81.86,5637955,2.67,,,,,,,,,,,,
43161,82.07,6447227,4.23,,,,,,,,,,,,
43168,81,8437702,3.89,,,,,,,,,,,,
43175,80.76,7490312,2.98,,,,,,,,,,,,
43182,79.51,7856947,2.95,,,,,,,,,,,,
43189,89.12,22166393,11.57,,,,,,,,,,,,
43196,89.61,14154579,4.79,,,,,,,,,,,,
43203,91.71,7456841,3.54,,,,,,,,,,,,
43210,96.31,10136647,4.62,,,,,,,,,,,,
43217,99.17,10117248,5.19,,,,,,,,,,,,
43224,95.49,9282023,5.34,,,,,,,,,,,,
43231,98.54,6425567,3.7,,,,,,,,,,,,
43238,102.82,6865730,5.34,,,,,,,,,,,,
43245,106.18,9663177,5.47,,,,,,,,,,,,
43252,122.19,24620732,20.04,,,,,,,,,,,,
43259,122.02,15229026,6.26,,,,,,,,,,,,
43266,128.37,12330555,8.36,,,,,,,,,,,,
43273,124.18,9161710,5.62,,,,,,,,,,,,
43280,124.85,8114253,5.13,,,,,,,,,,,,
43287,128.54,6068761,5.65,,,,,,,,,,,,
43294,125.45,5978312,5.87,,,,,,,,,,,,
43301,126.45,6963574,5.62,,,,,,,,,,,,
43308,120,7185493,8.12,,,,,,,,,,,,
43315,126.08,8040917,8.67,,,,,,,,,,,,
43322,130.52,7051536,6.38,,,,,,,,,,,,
43329,130.19,7365874,6.82,,,,,,,,,,,,
43336,138.76,8514020,10.02,,,,,,,,,,,,
43343,154.93,24129132,24.71,,,,,,,,,,,,
43350,150.82,11522952,9.41,,,,,,,,,,,,
43357,153.71,6693817,4.77,,,,,,,,,,,,
43364,156.99,8987736,6.88,,,,,,,,,,,,
43371,162.49,6635167,8.11,,,,,,,,,,,,
43378,153.84,7206116,13.33,,,,,,,,,,,,
43385,143.71,12573023,17.24,,,,,,,,,,,,
43392,136.77,8611538,11.24,,,,,,,,,,,,
43399,134.82,9132169,7.84,,,,,,,,,,,,
43406,142.02,9373020,12.65,,,,,,,,,,,,
