Date,Close,Volume,PriceRange,Quarter,Quarter Close
2018-08-24,50.73,4430463,2.13,,
2018-08-31,51.37,2935362,2.02,,
2018-09-07,50.36,2738016,2.14,,
2018-09-14,51.64,2965751,2.05,,
2018-09-21,50.27,5821616,2.9,,
2018-09-28,54.03,7824961,5.59,,
2018-10-05,49.49,7179593,6.31,,
2018-10-12,46.42,9057489,4.36,,
2018-10-19,48,5324985,4.13,,
2018-10-26,46.73,5100286,3.4,,
2018-11-02,48.29,4987003,5.03,,
2018-11-09,54.99,9410843,10.77,,
2018-11-16,53.44,7279689,4.54,,
2018-11-23,52.9,3821155,5.47,,
2018-11-30,55.22,5500947,4.18,,
2018-12-07,53.46,4502201,5.45,,
2018-12-14,54.02,4068732,2.8,,
2018-12-21,50.64,6784601,4.84,,
2018-12-28,52.58,7330194,5.78,,
2019-01-04,54.92,5383627,3.21,,
2019-01-11,58.8,8043790,4.02,,
2019-01-18,58.5,5387065,2.31,,
2019-01-25,57.57,4449942,2.42,,
2019-02-01,57.99,5997602,2.57,,
2019-02-08,57.36,7437311,3.27,,
2019-02-15,58.97,3814248,1.94,,
2019-02-22,58,4880164,3.67,,
2019-03-01,61.17,12706748,5.69,,
2019-03-08,64.04,9414256,3.93,,
2019-03-15,67.3,6622061,3.52,,
2019-03-22,66.77,5501568,1.99,,
2019-03-29,68.72,6179614,3.1,,
2019-04-05,71.47,8552736,3.15,,
2019-04-12,71.5,5484603,2.27,,
2019-04-19,73.41,4560341,2.95,,
2019-04-26,76.22,7067960,4.04,,
2019-05-03,72.67,10978000,9.84,,
2019-05-10,78.6,8009325,8.01,,
2019-05-17,80.02,6034717,6.34,,
2019-05-24,74.56,7131605,5.94,,
2019-05-31,76.47,4153564,3.2,,
2019-06-07,77.96,6506783,3.86,,
2019-06-14,80.76,6268850,5.2,,
2019-06-21,76.01,6641254,6.15,,
2019-06-28,72.44,20966977,6.02,,
2019-07-05,76.24,6279472,3.79,,
2019-07-12,77.54,5165858,2.71,,
2019-07-19,74.17,5735533,4.15,,
2019-07-26,79.16,5370503,6.55,,
2019-08-02,76.6,4171892,3.41,,
2019-08-09,73.77,10520581,11.49,,
2019-08-16,69.81,5464020,6.35,,
2019-08-23,66.72,5997582,5.47,,
2019-08-30,70.61,8865478,6.85,,
2019-09-06,65.46,6938437,4.23,,
2019-09-13,62.51,6044676,4.03,,
2019-09-20,60.34,4404311,3.67,,
2019-09-27,57.44,5758554,5.95,,
2019-10-04,57.96,5863467,3.04,,
2019-10-11,58.63,5344282,2.98,,
2019-10-18,60.49,5253709,2.13,,
2019-10-25,61.04,4046494,1.73,,
2019-11-01,63.03,7678093,3.36,,
2019-11-08,68.42,10687229,11.16,,
2019-11-15,71.45,9860115,5.33,,
2019-11-22,71.85,6042734,1.98,,
2019-11-29,73.92,2816385,2.71,,
2019-12-06,74.48,4686516,3.43,,
2019-12-13,72.67,5252110,2.73,,
2019-12-20,73.56,3687126,1.8,,
2019-12-27,75.49,1975551,2.29,,
2020-01-03,75.64,3211767,2.9,,
2020-01-10,77.22,3844078,3.58,,
2020-01-17,79.75,4526694,3.65,,
2020-01-24,78.52,3379238,3.01,,
2020-01-31,80.79,3703397,4.28,,
2020-02-07,82.58,3794510,2.73,,
2020-02-14,86.46,4535592,3.97,,
2020-02-21,87.52,3800732,2.46,,
2020-02-28,67.49,15694886,20.41,,
2020-03-06,64.35,14976187,11.23,,
2020-03-13,53.98,14969708,16.61,,
2020-03-20,33.93,34430988,22.24,,
2020-03-27,50.42,18962085,22.08,,
2020-04-03,36.96,15121080,15.52,,
2020-04-10,55.59,16188745,17.32,,
2020-04-17,56.57,13801796,9.16,,
2020-04-24,57.9,10858134,5.49,,
2020-05-01,57.62,11856362,11.41,,
2020-05-08,60.22,13208630,9.05,,
2020-05-15,52.32,17456460,13.72,,
2020-05-22,62.96,13295044,7.86,,
2020-05-29,64.63,7985186,6.19,,
2020-06-05,75.15,17683632,16.13,,
2020-06-12,66.9,10504090,13.79,,
2020-06-19,66.14,8042470,9.47,,
2020-06-26,61.62,10956906,7.28,,
2020-07-03,60.47,7911014,6.87,,
2020-07-10,57.11,10616699,8.66,,
2020-07-17,58.81,10475202,7,,
2020-07-24,54.57,6606476,5.18,,
2020-07-31,52.2,9974614,4.87,,
2020-08-07,50.94,14416929,4.53,,
2020-08-14,55.15,9492858,6.35,,
2020-08-21,56.41,7453272,4.14,,
2020-08-28,63.68,7070962,6.77,,
2020-09-04,62.4,6223975,5.33,,
2020-09-11,56.34,5904081,8.07,,
2020-09-18,57.39,8485977,5.91,,
2020-09-25,59.83,8935689,6.92,,
2020-10-02,62.22,9398435,5.99,,
2020-10-09,67.6,6333766,6.97,,
2020-10-16,65.24,5071091,5.3,,
2020-10-23,68.42,7038059,6.09,,
2020-10-30,59.27,6949928,9.55,,
2020-11-06,67.19,8785842,9.48,,
2020-11-13,69.4,15586786,18.05,,
2020-11-20,66.29,11341836,8.94,,
2020-11-27,72.26,6366433,10.21,,
2020-12-04,75.12,4792010,5.39,,
2020-12-11,76.19,5165799,5.92,,
2020-12-18,74.99,6451480,6.69,,
2020-12-25,77.74,3569224,6.2,,
2021-01-01,77.63,2766297,3.36,,
2021-01-08,81.42,7051726,9.74,,
2021-01-15,81.09,6488297,5.15,,
2021-01-22,79.33,4396298,3.29,,
2021-01-29,72,9819791,8.48,,
2021-02-05,77.79,10159991,9.56,,
2021-02-12,77.1,4751671,4.67,,
